Source_object_id,Target_object_id,O2O_qualifier,Timestamp
tr23,Pcp10,Assigned truck for pickup plan,2024-05-10 10:56:12
tr36,Pcp5,Assigned truck for pickup plan,2024-05-10 11:13:08
tr48,Pcp5,Assigned truck for pickup plan,2024-05-10 11:25:49
tr29,Pcp1,Dropped truck from pickup plan,2024-05-10 11:35:52
tr9,Pcp8,Assigned truck for pickup plan,2024-05-10 12:08:07
tr16,Pcp7,Assigned truck for pickup plan,2024-05-10 12:18:07
tr14,Pcp8,Dropped truck from pickup plan,2024-05-10 13:34:30
tr38,Pcp6,Dropped truck from pickup plan,2024-05-10 13:42:21
tr30,Pcp4,Assigned truck for pickup plan,2024-05-10 14:54:59
tr29,Pcp1,Assigned truck for pickup plan,2024-05-10 15:06:03
tr20,Pcp1,Assigned truck for pickup plan,2024-05-10 15:10:40
tr37,Pcp1,Assigned truck for pickup plan,2024-05-10 15:19:16
tr17,Pcp1,Assigned truck for pickup plan,2024-05-10 15:28:52
tr8,Pcp8,Assigned truck for pickup plan,2024-05-10 15:31:48
tr14,Pcp3,Assigned truck for pickup plan,2024-05-10 15:56:22
Silo19,tr25,Aranged silo for truck,2024-05-10 15:58:28
tr50,Pcp10,Dropped truck from pickup plan,2024-05-10 15:58:39
tr38,Pcp4,Assigned truck for pickup plan,2024-05-10 16:48:59
Silo11,tr3,Aranged silo for truck,2024-05-10 17:05:42
tr21,Pcp8,Dropped truck from pickup plan,2024-05-10 17:10:19
tr26,Pcp2,Dropped truck from pickup plan,2024-05-10 17:19:18
tr45,Pcp10,Assigned truck for pickup plan,2024-05-10 17:26:20
tr1,Pcp10,Dropped truck from pickup plan,2024-05-10 18:05:17
tr22,Pcp1,Assigned truck for pickup plan,2024-05-13 09:24:31
tr26,Pcp7,Assigned truck for pickup plan,2024-05-13 09:35:51
tr50,Pcp10,Assigned truck for pickup plan,2024-05-13 09:47:02
tr31,Pcp1,Dropped truck from pickup plan,2024-05-13 09:56:36
tr21,Pcp7,Assigned truck for pickup plan,2024-05-13 10:07:40
tr43,Pcp4,Dropped truck from pickup plan,2024-05-13 10:08:02
tr1,Pcp7,Assigned truck for pickup plan,2024-05-13 10:19:25
tr15,Pcp3,Assigned truck for pickup plan,2024-05-13 10:46:28
Silo19,tr33,Aranged silo for truck,2024-05-13 10:47:04
tr44,Pcp6,Dropped truck from pickup plan,2024-05-13 11:26:09
Silo19,tr24,Aranged silo for truck,2024-05-13 11:31:13
tr5,Pcp3,Dropped truck from pickup plan,2024-05-13 11:32:19
tr40,Pcp7,Dropped truck from pickup plan,2024-05-13 11:37:09
tr43,Pcp10,Assigned truck for pickup plan,2024-05-13 12:21:14
tr4,Pcp4,Dropped truck from pickup plan,2024-05-13 13:35:31
tr36,Pcp3,Assigned truck for pickup plan,2024-05-13 13:37:20
tr31,Pcp2,Assigned truck for pickup plan,2024-05-13 13:45:12
tr10,Pcp4,Assigned truck for pickup plan,2024-05-13 14:25:10
tr16,Pcp2,Assigned truck for pickup plan,2024-05-13 14:28:07
tr5,Pcp6,Assigned truck for pickup plan,2024-05-13 14:48:03
tr18,Pcp7,Assigned truck for pickup plan,2024-05-13 14:51:16
Silo19,tr2,Aranged silo for truck,2024-05-13 15:25:09
tr11,Pcp2,Assigned truck for pickup plan,2024-05-13 15:46:12
Silo17,tr8,Aranged silo for truck,2024-05-13 15:52:18
tr23,Pcp1,Assigned truck for pickup plan,2024-05-13 16:23:43
Silo8,tr37,Aranged silo for truck,2024-05-13 16:28:38
tr7,Pcp5,Assigned truck for pickup plan,2024-05-13 16:55:57
tr40,Pcp4,Assigned truck for pickup plan,2024-05-13 17:06:27
tr49,Pcp10,Assigned truck for pickup plan,2024-05-13 17:14:20
tr4,Pcp7,Assigned truck for pickup plan,2024-05-13 17:21:52
tr35,Pcp1,Dropped truck from pickup plan,2024-05-13 18:06:44
tr44,Pcp2,Assigned truck for pickup plan,2024-05-14 07:50:13
Silo11,tr45,Aranged silo for truck,2024-05-14 07:53:36
tr41,Pcp6,Assigned truck for pickup plan,2024-05-14 08:34:14
tr46,Pcp5,Assigned truck for pickup plan,2024-05-14 09:03:47
Silo17,tr6,Aranged silo for truck,2024-05-14 09:16:11
tr13,Pcp10,Assigned truck for pickup plan,2024-05-14 09:32:21
tr42,Pcp7,Assigned truck for pickup plan,2024-05-14 09:50:59
tr30,Pcp2,Assigned truck for pickup plan,2024-05-14 09:53:02
tr28,Pcp7,Assigned truck for pickup plan,2024-05-14 10:15:47
tr35,Pcp10,Assigned truck for pickup plan,2024-05-14 10:16:32
tr17,Pcp4,Assigned truck for pickup plan,2024-05-14 10:30:43
Silo6,tr19,Aranged silo for truck,2024-05-14 10:39:39
tr12,Pcp6,Dropped truck from pickup plan,2024-05-14 10:52:33
tr32,Pcp3,Assigned truck for pickup plan,2024-05-14 10:57:16
