ocel_IoTobject_id;ocel_object_id;ocel_qualifier;ocel_time
WS08;tr5;Weight sensor measuring loaded truck weight;2024-05-06 11:30:37
WS14;tr50;Weight sensor measuring loaded truck weight;2024-05-06 11:32:44
WS06;tr2;Weight sensor measuring empty truck weight;2024-05-06 11:54:01
WS14;tr25;Weight sensor measuring loaded truck weight;2024-05-06 12:46:10
WS07;tr32;Weight sensor measuring loaded truck weight;2024-05-06 13:41:26
WS08;tr12;Weight sensor measuring empty truck weight;2024-05-06 13:47:28
Temp6;Silo6;Temperature sensor measuring silo temperature;2024-05-06 14:01:04
Humd6;Silo6;Humidity sensor measuring silo humidity;2024-05-06 14:01:04
GrainTemp16;Silo6;1st Grain Termperature sensor located in the silo;2024-05-06 14:01:04
GrainTemp17;Silo6;2nd Grain Termperature sensor located in the silo;2024-05-06 14:01:04
GrainTemp18;Silo6;3rd Grain Termperature sensor located in the silo;2024-05-06 14:01:04
WS19;tr17;Weight sensor measuring loaded truck weight;2024-05-06 14:10:51
Temp1;Silo1;Temperature sensor measuring silo temperature;2024-05-06 14:21:11
Humd1;Silo1;Humidity sensor measuring silo humidity;2024-05-06 14:21:11
GrainTemp1;Silo1;1st Grain Termperature sensor located in the silo;2024-05-06 14:21:11
GrainTemp2;Silo1;2nd Grain Termperature sensor located in the silo;2024-05-06 14:21:11
GrainTemp3;Silo1;3rd Grain Termperature sensor located in the silo;2024-05-06 14:21:11
WS14;tr36;Weight sensor measuring empty truck weight;2024-05-06 14:53:16
WS04;tr49;Weight sensor measuring loaded truck weight;2024-05-06 14:57:33
WS16;tr24;Weight sensor measuring empty truck weight;2024-05-06 15:03:10
WS20;tr23;Weight sensor measuring loaded truck weight;2024-05-06 15:51:01
WS12;tr35;Weight sensor measuring loaded truck weight;2024-05-06 17:00:30
Temp2;Silo2;Temperature sensor measuring silo temperature;2024-05-06 17:19:35
Humd2;Silo2;Humidity sensor measuring silo humidity;2024-05-06 17:19:35
GrainTemp4;Silo2;1st Grain Termperature sensor located in the silo;2024-05-06 17:19:35
GrainTemp5;Silo2;2nd Grain Termperature sensor located in the silo;2024-05-06 17:19:35
GrainTemp6;Silo2;3rd Grain Termperature sensor located in the silo;2024-05-06 17:19:35
Temp20;Silo20;Temperature sensor measuring silo temperature;2024-05-06 18:11:52
Humd20;Silo20;Humidity sensor measuring silo humidity;2024-05-06 18:11:52
GrainTemp58;Silo20;1st Grain Termperature sensor located in the silo;2024-05-06 18:11:52
GrainTemp59;Silo20;2nd Grain Termperature sensor located in the silo;2024-05-06 18:11:52
GrainTemp60;Silo20;3rd Grain Termperature sensor located in the silo;2024-05-06 18:11:52
WS15;tr41;Weight sensor measuring loaded truck weight;2024-05-07 07:46:51
WS05;tr37;Weight sensor measuring empty truck weight;2024-05-07 08:14:13
WS02;tr44;Weight sensor measuring loaded truck weight;2024-05-07 08:36:00
Temp7;Silo7;Temperature sensor measuring silo temperature;2024-05-07 08:40:40
Humd7;Silo7;Humidity sensor measuring silo humidity;2024-05-07 08:40:40
GrainTemp19;Silo7;1st Grain Termperature sensor located in the silo;2024-05-07 08:40:40
GrainTemp20;Silo7;2nd Grain Termperature sensor located in the silo;2024-05-07 08:40:40
GrainTemp21;Silo7;3rd Grain Termperature sensor located in the silo;2024-05-07 08:40:40
WS08;tr46;Weight sensor measuring empty truck weight;2024-05-07 08:42:32
WS14;tr31;Weight sensor measuring loaded truck weight;2024-05-07 09:12:51
WS01;tr15;Weight sensor measuring loaded truck weight;2024-05-07 10:41:41
WS02;tr47;Weight sensor measuring loaded truck weight;2024-05-07 10:42:40
WS01;tr48;Weight sensor measuring empty truck weight;2024-05-07 10:48:49
WS02;tr34;Weight sensor measuring loaded truck weight;2024-05-07 10:58:05
WS15;tr9;Weight sensor measuring empty truck weight;2024-05-07 11:29:20
WS10;tr50;Weight sensor measuring empty truck weight;2024-05-07 11:55:18
Temp1;Silo1;Temperature sensor measuring silo temperature;2024-05-07 11:55:38
Humd1;Silo1;Humidity sensor measuring silo humidity;2024-05-07 11:55:38
GrainTemp1;Silo1;1st Grain Termperature sensor located in the silo;2024-05-07 11:55:38
GrainTemp2;Silo1;2nd Grain Termperature sensor located in the silo;2024-05-07 11:55:38
GrainTemp3;Silo1;3rd Grain Termperature sensor located in the silo;2024-05-07 11:55:38
WS08;tr26;Weight sensor measuring loaded truck weight;2024-05-07 13:49:50
WS09;tr40;Weight sensor measuring empty truck weight;2024-05-07 14:00:24
Temp7;Silo7;Temperature sensor measuring silo temperature;2024-05-07 14:08:34
Humd7;Silo7;Humidity sensor measuring silo humidity;2024-05-07 14:08:34
GrainTemp19;Silo7;1st Grain Termperature sensor located in the silo;2024-05-07 14:08:34
