ocel_event_id;ocel_object_id;ocel_qualifier
assign_trs_Pcp1;tr12;Pickup plan trucks assignment
load_trucktr48;tr48;cargo load for truck
eval_trs_exittr5_Pcp1;tr5;Exit evaluation for truck
input_tally_sheettr34;tr34;Tally Sheet for pickup plan
print_w_tickettr34;tr34;Printed weighing ticket for pickup plan
print_w_tickettr23;tr23;Printed weighing ticket for pickup plan
input_tally_sheettr23;tr23;Tally Sheet for pickup plan
input_tally_sheettr30;tr30;Tally Sheet for pickup plan
print_w_tickettr30;tr30;Printed weighing ticket for pickup plan
assign_trs_Pcp2;tr28;Pickup plan trucks assignment
load_trucktr3;tr3;cargo load for truck
weigh_empty_trucktr26;tr26;Truck weighed
eval_trs_exittr30_Pcp1;tr30;Exit evaluation for truck
weigh_empty_trucktr15;tr15;Truck weighed
load_trucktr26;tr26;cargo load for truck
load_trucktr15;tr15;cargo load for truck
eval_trs_exittr23_Pcp6;tr23;Exit evaluation for truck
eval_trs_exittr34_Pcp6;tr34;Exit evaluation for truck
weigh_empty_trucktr2;tr2;Truck weighed
assign_trs_Pcp1;tr24;Pickup plan trucks assignment
print_w_tickettr43;tr43;Printed weighing ticket for pickup plan
input_tally_sheettr43;tr43;Tally Sheet for pickup plan
eval_trs_exittr43_Pcp6;tr43;Exit evaluation for truck
assign_trs_Pcp4;tr29;Pickup plan trucks assignment
weigh_empty_trucktr42;tr42;Truck weighed
weigh_empty_trucktr4;tr4;Truck weighed
weigh_empty_trucktr32;tr32;Truck weighed
weigh_loaded_trucktr8;tr8;Truck weighed
weigh_loaded_trucktr7;tr7;Truck weighed
load_trucktr2;tr2;cargo load for truck
weigh_loaded_trucktr47;tr47;Truck weighed
load_trucktr32;tr32;cargo load for truck
weigh_empty_trucktr21;tr21;Truck weighed
assign_trs_Pcp8;tr30;Pickup plan trucks assignment
print_w_tickettr47;tr47;Printed weighing ticket for pickup plan
input_tally_sheettr47;tr47;Tally Sheet for pickup plan
assign_trs_Pcp5;tr5;Pickup plan trucks assignment
assign_trs_Pcp2;tr45;Pickup plan trucks assignment
input_tally_sheettr8;tr8;Tally Sheet for pickup plan
print_w_tickettr8;tr8;Printed weighing ticket for pickup plan
load_trucktr4;tr4;cargo load for truck
assign_trs_Pcp4;tr38;Pickup plan trucks assignment
weigh_loaded_trucktr50;tr50;Truck weighed
load_trucktr42;tr42;cargo load for truck
load_trucktr21;tr21;cargo load for truck
eval_trs_exittr47_Pcp1;tr47;Exit evaluation for truck
weigh_empty_trucktr35;tr35;Truck weighed
assign_trs_Pcp3;tr43;Pickup plan trucks assignment
print_w_tickettr7;tr7;Printed weighing ticket for pickup plan
input_tally_sheettr7;tr7;Tally Sheet for pickup plan
eval_trs_exittr8_Pcp6;tr8;Exit evaluation for truck
weigh_loaded_trucktr17;tr17;Truck weighed
eval_trs_exittr7_Pcp2;tr7;Exit evaluation for truck
load_trucktr35;tr35;cargo load for truck
assign_trs_Pcp1;tr23;Pickup plan trucks assignment
assign_trs_Pcp8;tr9;Pickup plan trucks assignment
weigh_empty_trucktr28;tr28;Truck weighed
weigh_empty_trucktr27;tr27;Truck weighed
weigh_loaded_trucktr16;tr16;Truck weighed
input_tally_sheettr17;tr17;Tally Sheet for pickup plan
print_w_tickettr17;tr17;Printed weighing ticket for pickup plan
load_trucktr28;tr28;cargo load for truck
load_trucktr27;tr27;cargo load for truck
weigh_loaded_trucktr40;tr40;Truck weighed
weigh_empty_trucktr41;tr41;Truck weighed
eval_trs_exittr17_Pcp6;tr17;Exit evaluation for truck
assign_trs_Pcp7;tr8;Pickup plan trucks assignment
input_tally_sheettr40;tr40;Tally Sheet for pickup plan
print_w_tickettr40;tr40;Printed weighing ticket for pickup plan
weigh_loaded_trucktr25;tr25;Truck weighed
weigh_empty_trucktr38;tr38;Truck weighed
assign_trs_Pcp4;tr47;Pickup plan trucks assignment
print_w_tickettr25;tr25;Printed weighing ticket for pickup plan
input_tally_sheettr25;tr25;Tally Sheet for pickup plan
eval_trs_exittr40_Pcp6;tr40;Exit evaluation for truck
load_trucktr38;tr38;cargo load for truck
assign_trs_Pcp9;tr39;Pickup plan trucks assignment
eval_trs_exittr25_Pcp2;tr25;Exit evaluation for truck
load_trucktr41;tr41;cargo load for truck
input_tally_sheettr16;tr16;Tally Sheet for pickup plan
print_w_tickettr16;tr16;Printed weighing ticket for pickup plan
weigh_loaded_trucktr36;tr36;Truck weighed
weigh_empty_trucktr33;tr33;Truck weighed
assign_trs_Pcp9;tr34;Pickup plan trucks assignment
load_trucktr33;tr33;cargo load for truck
assign_trs_Pcp8;tr17;Pickup plan trucks assignment
input_tally_sheettr36;tr36;Tally Sheet for pickup plan
print_w_tickettr36;tr36;Printed weighing ticket for pickup plan
assign_trs_Pcp8;tr7;Pickup plan trucks assignment
weigh_empty_trucktr45;tr45;Truck weighed
eval_trs_exittr36_Pcp8;tr36;Exit evaluation for truck
weigh_loaded_trucktr3;tr3;Truck weighed
eval_trs_exittr16_Pcp3;tr16;Exit evaluation for truck
weigh_loaded_trucktr37;tr37;Truck weighed
weigh_loaded_trucktr10;tr10;Truck weighed
weigh_loaded_trucktr48;tr48;Truck weighed
weigh_empty_trucktr9;tr9;Truck weighed
load_trucktr9;tr9;cargo load for truck
weigh_loaded_trucktr44;tr44;Truck weighed
load_trucktr45;tr45;cargo load for truck
weigh_empty_trucktr43;tr43;Truck weighed
assign_trs_Pcp5;tr25;Pickup plan trucks assignment
weigh_loaded_trucktr49;tr49;Truck weighed
load_trucktr43;tr43;cargo load for truck
weigh_empty_trucktr12;tr12;Truck weighed
weigh_empty_trucktr8;tr8;Truck weighed
weigh_empty_trucktr29;tr29;Truck weighed
print_w_tickettr49;tr49;Printed weighing ticket for pickup plan
input_tally_sheettr49;tr49;Tally Sheet for pickup plan
assign_trs_Pcp10;tr36;Pickup plan trucks assignment
load_trucktr8;tr8;cargo load for truck
weigh_loaded_trucktr6;tr6;Truck weighed
load_trucktr29;tr29;cargo load for truck
