IoT_object_id,Object_id,IoT2O_qualifier,Timestamp
WS14,tr28,Weight sensor measuring loaded truck weight,2024-05-07 07:02:28
Temp6,Silo6,Temperature sensor measuring silo temperature,2024-05-07 07:57:08
Humd6,Silo6,Humidity sensor measuring silo humidity,2024-05-07 07:57:08
GrainTemp16,Silo6,1st Grain Termperature sensor located in the silo,2024-05-07 07:57:08
GrainTemp17,Silo6,2nd Grain Termperature sensor located in the silo,2024-05-07 07:57:08
GrainTemp18,Silo6,3rd Grain Termperature sensor located in the silo,2024-05-07 07:57:08
Temp6,Silo6,Temperature sensor measuring silo temperature,2024-05-07 07:59:41
Humd6,Silo6,Humidity sensor measuring silo humidity,2024-05-07 07:59:41
GrainTemp16,Silo6,1st Grain Termperature sensor located in the silo,2024-05-07 07:59:41
GrainTemp17,Silo6,2nd Grain Termperature sensor located in the silo,2024-05-07 07:59:41
GrainTemp18,Silo6,3rd Grain Termperature sensor located in the silo,2024-05-07 07:59:41
WS17,tr49,Weight sensor measuring loaded truck weight,2024-05-07 08:10:30
WS04,tr29,Weight sensor measuring loaded truck weight,2024-05-07 08:46:51
Temp19,Silo19,Temperature sensor measuring silo temperature,2024-05-07 09:09:19
Humd19,Silo19,Humidity sensor measuring silo humidity,2024-05-07 09:09:19
GrainTemp55,Silo19,1st Grain Termperature sensor located in the silo,2024-05-07 09:09:19
GrainTemp56,Silo19,2nd Grain Termperature sensor located in the silo,2024-05-07 09:09:19
GrainTemp57,Silo19,3rd Grain Termperature sensor located in the silo,2024-05-07 09:09:19
WS06,tr50,Weight sensor measuring loaded truck weight,2024-05-07 10:29:21
WS11,tr11,Weight sensor measuring empty truck weight,2024-05-07 10:47:40
WS09,tr36,Weight sensor measuring loaded truck weight,2024-05-07 10:58:59
Temp18,Silo18,Temperature sensor measuring silo temperature,2024-05-07 11:19:02
Humd18,Silo18,Humidity sensor measuring silo humidity,2024-05-07 11:19:02
GrainTemp52,Silo18,1st Grain Termperature sensor located in the silo,2024-05-07 11:19:02
GrainTemp53,Silo18,2nd Grain Termperature sensor located in the silo,2024-05-07 11:19:02
GrainTemp54,Silo18,3rd Grain Termperature sensor located in the silo,2024-05-07 11:19:02
WS17,tr18,Weight sensor measuring empty truck weight,2024-05-07 11:50:57
WS02,tr10,Weight sensor measuring empty truck weight,2024-05-07 11:51:52
WS09,tr34,Weight sensor measuring empty truck weight,2024-05-07 12:23:10
WS18,tr1,Weight sensor measuring empty truck weight,2024-05-07 13:18:57
WS20,tr27,Weight sensor measuring empty truck weight,2024-05-07 13:31:43
Temp6,Silo6,Temperature sensor measuring silo temperature,2024-05-07 13:50:15
Humd6,Silo6,Humidity sensor measuring silo humidity,2024-05-07 13:50:15
GrainTemp16,Silo6,1st Grain Termperature sensor located in the silo,2024-05-07 13:50:15
GrainTemp17,Silo6,2nd Grain Termperature sensor located in the silo,2024-05-07 13:50:15
